citation,title,executed_test,test_ids,evidence_tier,positive_case,negative_or_mutation_case,interaction_or_boundary_case,coverage,notes
2.3.1,Follow print,YES,word_braille_validator; punct_basic; cap_punctuation,DERIVED,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.4.1,Indicators and modes,YES,cap_isolated; grade1_numeric_hyphen_cap; typeform_number_symbol,OFFICIAL,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule; executed evidence includes an unresolved difference or source-policy case
2.4.2,Indicators and modes,YES,num_zero; punct_basic; quote_curly_double,OFFICIAL; DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.4.3,Indicators and modes,YES,num_zero; cap_all_word; typeform_passage,OFFICIAL; DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.4.4,Indicators and modes,YES,grade1_plain_no_indicator; grade1_numeric_letters; cap_all_word,OFFICIAL; DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.4.5,Indicators and modes,YES,typeform_number_symbol; cap_all_word,OFFICIAL; DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.5.1,Contractions disallowed in Grade 1 mode,YES,word_ordinary; grade1_plain_no_indicator,DERIVED; OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.5.2,Uncontracted differs from Grade 1 mode,YES,word_ordinary; grade1_plain_no_indicator,DERIVED; OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.5.3,Uncontracted differs from Grade 1 mode,YES,num_zero; grade1_numeric_letters,OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.5.4,Uncontracted differs from Grade 1 mode,YES,word_ordinary,DERIVED,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.5.5,Uncontracted differs from Grade 1 mode,YES,word_hello; word_braille_validator; word_ordinary; grade1_plain_no_indicator,DERIVED; OFFICIAL,YES,NO,NO,COVERED,
2.6.1,Standing alone,YES,cap_word; grade1_plain_no_indicator,DERIVED; OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.6.2,Standing alone,YES,quote_standing_alone_double; brackets_round; quote_ascii_single_pair,DERIVED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
2.6.3,Standing alone,YES,quote_standing_alone_double; punct_abbreviation_period; quote_nested; apostrophe_possessive_ascii,DERIVED; OFFICIAL,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
2.6.4,Standing alone,YES,apostrophe_mid_ascii; apostrophe_possessive_ascii,OFFICIAL,YES,NO,NO,PARTIAL,related rule-family evidence only; no test citation names this subrule
2.6.5,Standing alone,YES,punct_question_standing_alone; quote_standing_alone_double,OFFICIAL; DERIVED,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule; executed evidence includes an unresolved difference or source-policy case
3.1,Ampersand,YES,symbols_amp_at,OFFICIAL,YES,NO,NO,COVERED,
3.5,Bullet,YES,symbols_bullet,OFFICIAL,YES,NO,NO,COVERED,
3.7,"At, copyright, registered, trademark",YES,symbols_amp_at,OFFICIAL,YES,NO,NO,COVERED,
3.8,"At, copyright, registered, trademark",YES,symbols_copyright_trademark,OFFICIAL,YES,NO,NO,COVERED,
3.10,Currency signs,YES,num_currency; symbols_currency; symbols_currency_amount,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
3.11,Degree and prime,YES,symbols_degree_section; symbols_degree_prime,OFFICIAL,YES,NO,NO,COVERED,
3.19,"Number, paragraph/section, percent",YES,symbols_percent_hash; symbols_number_sign,OFFICIAL,YES,NO,NO,COVERED,
3.20,"Number, paragraph/section, percent",YES,symbols_degree_section,OFFICIAL,YES,NO,NO,COVERED,
3.21,"Number, paragraph/section, percent",YES,symbols_percent_hash,OFFICIAL,YES,NO,NO,COVERED,
3.23,Space,YES,num_thousands_space; spacing_normal; spacing_multiple; spacing_nbsp; spacing_thin_zero_width,DERIVED; OFFICIAL; CONSTRUCTED,YES,YES,YES,PARTIAL,executed evidence includes an unresolved difference or source-policy case
4.1,English alphabet,YES,alphabet_lower_a; alphabet_lower_b; alphabet_lower_c; alphabet_lower_d; alphabet_lower_e; alphabet_lower_f; alphabet_lower_g; alphabet_lower_h; alphabet_lower_i; alphabet_lower_j; alphabet_lower_k; alphabet_lower_l; alphabet_lower_m; alphabet_lower_n; alphabet_lower_o; alphabet_lower_p; alphabet_lower_q; alphabet_lower_r; alphabet_lower_s; alphabet_lower_t; alphabet_lower_u; alphabet_lower_v; alphabet_lower_w; alphabet_lower_x; alphabet_lower_y; alphabet_lower_z; alphabet_upper_a; alphabet_upper_b; alphabet_upper_c; alphabet_upper_d; alphabet_upper_e; alphabet_upper_f; alphabet_upper_g; alphabet_upper_h; alphabet_upper_i; alphabet_upper_j; alphabet_upper_k; alphabet_upper_l; alphabet_upper_m; alphabet_upper_n; alphabet_upper_o; alphabet_upper_p; alphabet_upper_q; alphabet_upper_r; alphabet_upper_s; alphabet_upper_t; alphabet_upper_u; alphabet_upper_v; alphabet_upper_w; alphabet_upper_x; alphabet_upper_y; alphabet_upper_z; word_hello; word_braille_validator; word_ordinary,OFFICIAL; DERIVED,YES,NO,NO,COVERED,
5.1,Grade 1 symbol mode,YES,punct_question_standing_alone,OFFICIAL,YES,YES,YES,PARTIAL,related rule-family evidence only; no test citation names this subrule
