citation,title,classification,reason,dependencies,official_example_available,notes
2.3.1,Follow print,REQUIRED,"V1 must preserve relevant letters, punctuation and capitals.","4,7,8",YES,Ordinary prose input.
2.4.1,Indicators and modes,REQUIRED,"Needed to interpret numeric, Grade 1, capitals and typeforms.","5,6,8,9",YES,Validator must not treat indicators as ordinary letters.
2.4.2,Indicators and modes,REQUIRED,"Needed to interpret numeric, Grade 1, capitals and typeforms.","5,6,8,9",YES,Validator must not treat indicators as ordinary letters.
2.4.3,Indicators and modes,REQUIRED,"Needed to interpret numeric, Grade 1, capitals and typeforms.","5,6,8,9",YES,Validator must not treat indicators as ordinary letters.
2.4.4,Indicators and modes,REQUIRED,"Needed to interpret numeric, Grade 1, capitals and typeforms.","5,6,8,9",YES,Validator must not treat indicators as ordinary letters.
2.4.5,Indicators and modes,REQUIRED,"Needed to interpret numeric, Grade 1, capitals and typeforms.","5,6,8,9",YES,Validator must not treat indicators as ordinary letters.
2.5.1,Contractions disallowed in Grade 1 mode,REQUIRED,V1 is uncontracted; contracted UEB is out of scope.,"5,6",YES,No Grade 2 acceptance.
2.5.2,Uncontracted differs from Grade 1 mode,REQUIRED,Defines V1 policy: uncontracted output may omit Grade 1 indicators except where needed.,"5,6",YES,High-risk policy boundary.
2.5.3,Uncontracted differs from Grade 1 mode,REQUIRED,Defines V1 policy: uncontracted output may omit Grade 1 indicators except where needed.,"5,6",YES,High-risk policy boundary.
2.5.4,Uncontracted differs from Grade 1 mode,REQUIRED,Defines V1 policy: uncontracted output may omit Grade 1 indicators except where needed.,"5,6",YES,High-risk policy boundary.
2.5.5,Uncontracted differs from Grade 1 mode,REQUIRED,Defines V1 policy: uncontracted output may omit Grade 1 indicators except where needed.,"5,6",YES,High-risk policy boundary.
2.6.1,Standing alone,REQUIRED,"Controls quote, question-mark, apostrophe and indicator ambiguity.","7,8",YES,Context-sensitive.
2.6.2,Standing alone,REQUIRED,"Controls quote, question-mark, apostrophe and indicator ambiguity.","7,8",YES,Context-sensitive.
2.6.3,Standing alone,REQUIRED,"Controls quote, question-mark, apostrophe and indicator ambiguity.","7,8",YES,Context-sensitive.
2.6.4,Standing alone,REQUIRED,"Controls quote, question-mark, apostrophe and indicator ambiguity.","7,8",YES,Context-sensitive.
2.6.5,Standing alone,REQUIRED,"Controls quote, question-mark, apostrophe and indicator ambiguity.","7,8",YES,Context-sensitive.
3.1,Ampersand,REQUIRED,Common symbol explicitly in V1 list.,"2,7",YES,Direct symbol mapping.
3.5,Bullet,REQUIRED,Common symbol explicitly requested.,"2,7",YES,Text-level bullet only.
3.7,"At, copyright, registered, trademark",REQUIRED,Common symbols explicitly requested.,"6,7",YES,Direct symbol mapping.
3.8,"At, copyright, registered, trademark",REQUIRED,Common symbols explicitly requested.,"6,7",YES,Direct symbol mapping.
3.10,Currency signs,REQUIRED,Currency is explicitly requested and interacts with numeric mode.,6,YES,"Dollar, pound, euro, yen, cent in V1 corpus."
3.11,Degree and prime,REQUIRED,Degree is explicitly requested; prime is ordinary symbol-level support.,"6,7",YES,No mathematics semantics.
3.19,"Number, paragraph/section, percent",REQUIRED,Explicit common-symbol and numeric requirements.,6,YES,Hash is not automatically numeric.
3.20,"Number, paragraph/section, percent",REQUIRED,Explicit common-symbol and numeric requirements.,6,YES,Hash is not automatically numeric.
