id,family,citation,source,source_codepoints,expected_braille,expected_dot_notation,accepted_braille,accepted_dot_notation,liblouis_braille,liblouis_dot_notation,backward_result,status,evidence_tier,official_example_available,upstream_test,actual_gap_classification,observed_difference,notes,typeform_spec,backward_error
alphabet_lower_a,Alphabet,4.1,a,U+0061,⠁,1,,,⠁,1,a,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_b,Alphabet,4.1,b,U+0062,⠃,12,,,⠃,12,b,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_c,Alphabet,4.1,c,U+0063,⠉,14,,,⠉,14,c,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_d,Alphabet,4.1,d,U+0064,⠙,145,,,⠙,145,d,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_e,Alphabet,4.1,e,U+0065,⠑,15,,,⠑,15,e,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_f,Alphabet,4.1,f,U+0066,⠋,124,,,⠋,124,f,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_g,Alphabet,4.1,g,U+0067,⠛,1245,,,⠛,1245,g,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_h,Alphabet,4.1,h,U+0068,⠓,125,,,⠓,125,h,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_i,Alphabet,4.1,i,U+0069,⠊,24,,,⠊,24,i,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_j,Alphabet,4.1,j,U+006A,⠚,245,,,⠚,245,j,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_k,Alphabet,4.1,k,U+006B,⠅,13,,,⠅,13,k,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_l,Alphabet,4.1,l,U+006C,⠇,123,,,⠇,123,l,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_m,Alphabet,4.1,m,U+006D,⠍,134,,,⠍,134,m,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_n,Alphabet,4.1,n,U+006E,⠝,1345,,,⠝,1345,n,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_o,Alphabet,4.1,o,U+006F,⠕,135,,,⠕,135,o,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_p,Alphabet,4.1,p,U+0070,⠏,1234,,,⠏,1234,p,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_q,Alphabet,4.1,q,U+0071,⠟,12345,,,⠟,12345,q,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_r,Alphabet,4.1,r,U+0072,⠗,1235,,,⠗,1235,r,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_s,Alphabet,4.1,s,U+0073,⠎,234,,,⠎,234,s,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_t,Alphabet,4.1,t,U+0074,⠞,2345,,,⠞,2345,t,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_u,Alphabet,4.1,u,U+0075,⠥,136,,,⠥,136,u,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_v,Alphabet,4.1,v,U+0076,⠧,1236,,,⠧,1236,v,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_w,Alphabet,4.1,w,U+0077,⠺,2456,,,⠺,2456,w,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_x,Alphabet,4.1,x,U+0078,⠭,1346,,,⠭,1346,x,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_y,Alphabet,4.1,y,U+0079,⠽,13456,,,⠽,13456,y,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_lower_z,Alphabet,4.1,z,U+007A,⠵,1356,,,⠵,1356,z,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_a,Alphabet,4.1,A,U+0041,⠠⠁,6 1,,,⠠⠁,6 1,A,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_b,Alphabet,4.1,B,U+0042,⠠⠃,6 12,,,⠠⠃,6 12,B,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_c,Alphabet,4.1,C,U+0043,⠠⠉,6 14,,,⠠⠉,6 14,C,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_d,Alphabet,4.1,D,U+0044,⠠⠙,6 145,,,⠠⠙,6 145,D,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_e,Alphabet,4.1,E,U+0045,⠠⠑,6 15,,,⠠⠑,6 15,E,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_f,Alphabet,4.1,F,U+0046,⠠⠋,6 124,,,⠠⠋,6 124,F,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_g,Alphabet,4.1,G,U+0047,⠠⠛,6 1245,,,⠠⠛,6 1245,G,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_h,Alphabet,4.1,H,U+0048,⠠⠓,6 125,,,⠠⠓,6 125,H,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_i,Alphabet,4.1,I,U+0049,⠠⠊,6 24,,,⠠⠊,6 24,I,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_j,Alphabet,4.1,J,U+004A,⠠⠚,6 245,,,⠠⠚,6 245,J,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_k,Alphabet,4.1,K,U+004B,⠠⠅,6 13,,,⠠⠅,6 13,K,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_l,Alphabet,4.1,L,U+004C,⠠⠇,6 123,,,⠠⠇,6 123,L,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_m,Alphabet,4.1,M,U+004D,⠠⠍,6 134,,,⠠⠍,6 134,M,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_n,Alphabet,4.1,N,U+004E,⠠⠝,6 1345,,,⠠⠝,6 1345,N,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_o,Alphabet,4.1,O,U+004F,⠠⠕,6 135,,,⠠⠕,6 135,O,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_p,Alphabet,4.1,P,U+0050,⠠⠏,6 1234,,,⠠⠏,6 1234,P,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
alphabet_upper_q,Alphabet,4.1,Q,U+0051,⠠⠟,6 12345,,,⠠⠟,6 12345,Q,PASS,OFFICIAL,YES,en-ueb-symbols_harness.yaml (direct letters),,exact,Direct alphabet table entry.,,
